,AMAZONAS,ANTIOQUIA,ARAUCA,ATLÁNTICO,BOLÍVAR,BOYACÁ,CALDAS,CAQUETA,CASANARE,CAUCA,CESAR,CHOCÓ,CÓRDOBA,CUNDINAMARCA,BOGOTÁ D.C.,GUAINÍA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NARIÑO,NORTE DE SANTANDER,PUTUMAYO,QUINDÍO,RISARALDA,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SANTANDER,SUCRE,TOLIMA,VALLE DEL CAUCA,VAUPÉS,VICHADA
2017/02,422,1074066,9242,314991,174788,102904,117090,20312,32173,63681,76233,18427,84904,334699,1776759,49,1357,94906,33598,87350,106521,86466,126136,10897,87383,145637,4233,326858,46906,147894,685493,64,1011
2017/03,423,1090819,9580,322437,174669,103228,118765,22299,32855,65006,77755,18912,81706,338335,1807827,70,1673,95006,34899,90506,109226,90246,128865,11435,89604,146913,4249,331507,45844,140366,698081,63,1016
2017/04,408,1098843,10647,328389,177184,105391,119291,19463,33843,65547,79562,20514,86146,342365,1818094,373,1742,95703,34906,89125,112265,92327,129802,12200,90741,149943,4203,329803,47468,147084,707051,65,2217
2018/01,391,1113650,11105,335464,180168,108764,120931,19190,34136,69939,82677,21013,88980,369021,1826350,531,2020,98100,36625,90043,114467,93702,134169,12772,92188,162303,4197,334159,48660,152223,719755,68,1520
2018/02,567,1127759,11263,338205,183550,111668,122103,20378,34762,70370,84115,21302,92055,384610,1857309,496,2213,100484,37196,92880,116841,96604,137851,13534,93886,165341,4215,318321,51699,153989,731687,62,1017
2018/03,640,1149039,11260,343197,183812,114666,121484,21443,34124,75890,87011,22087,95299,381712,1875396,582,2397,102572,38619,91388,118352,97635,142502,14645,94477,167548,4201,321125,51675,152342,741593,60,903
2018/04,930,1164120,11272,346822,186967,116210,123072,22595,33711,75879,88889,21285,99242,391605,1876271,860,2437,105349,43424,89496,119423,99030,143285,15553,97766,168549,4121,324351,53645,153980,749987,63,936
2019/01,1298,1187713,12948,329666,191419,120297,125136,22874,35957,75130,91285,23996,102170,399577,1874506,1632,2525,106040,40534,95552,123672,100063,143100,11036,99031,173184,4177,329265,53428,157890,763692,63,1322
2019/02,1243,1198328,14612,343938,194076,121760,127633,22304,35451,80819,99853,23377,102798,412878,1890765,1204,2572,108859,42768,96497,126411,102897,149575,17081,99862,175933,4263,330025,53258,158875,768930,47,1291
2019/03,1332,1211906,15126,351804,198475,124919,127296,26741,36832,76234,101159,24088,104378,422209,1915409,1520,2648,109755,45334,97888,129526,104234,151726,11291,102379,178076,4049,339143,53968,161315,779626,88,1331
2019/04,1290,1232702,14526,354675,185788,116349,121706,26931,38138,75525,102363,23592,103215,416224,1916910,1287,2614,107273,47464,99551,125785,95765,154851,16680,100034,178752,4094,328405,52640,152172,782509,93,1165
2020/01,1382,1257995,16447,362839,191306,120739,129564,28707,42087,77510,102895,25614,105227,432460,1956766,1570,2725,112583,49479,99890,130962,100215,160925,14695,102980,186033,3274,338856,53388,156004,796990,66,1359
2020/02,1365,1322352,17688,376574,197383,125176,137568,30875,46074,87682,109935,26565,110106,459069,2024199,1656,2869,118201,51080,102119,139422,104462,172612,19163,107847,195029,3250,350673,54957,164286,827014,90,1434
2020/03,1438,1345905,21560,385913,198025,132694,142560,31998,47410,83036,111105,27219,112684,497447,2068167,1691,2849,123452,52950,104458,141662,105716,177597,20807,114196,202089,3778,362089,57405,165898,850067,58,1474
2020/04,1431,1362792,20273,391057,197095,137564,152813,28982,47639,84164,113101,25846,112512,515343,2087436,1467,2563,126952,51509,107005,142316,109624,180560,25170,119851,210869,3687,366918,59928,179465,864036,65,1389
2021/01,1679,1403203,20980,407590,204612,146275,155294,32365,49441,100076,120809,26319,113623,539710,2137081,1560,2636,133515,54409,113088,143771,113893,185061,24551,122903,216276,4591,383298,60685,194459,878375,46,1521
2021/02,1436,1458830,21904,421542,217865,146067,157593,32017,47882,103443,120010,26655,119572,550248,2163383,1369,2514,132503,57068,129711,144118,113514,188911,10987,124367,218178,4829,388678,63434,197062,884275,50,1445
2021/03,1318,1482908,22685,430057,225168,148028,155408,34203,51790,95784,126366,25450,118589,535893,2152403,1198,2406,135536,56147,141667,146008,115978,188033,12381,123254,216545,4397,393509,64183,196108,884744,62,1421
2021/04,1251,1509138,24912,425332,233316,154752,155106,35620,50479,92191,118110,26870,120266,567619,2169050,1011,2356,143222,57381,145212,148477,122941,196951,14341,126492,221651,4176,405965,65466,200137,888512,70,1281
2022/01,1141,1528588,20244,435560,227251,153748,153038,32079,42844,89547,129129,26258,115530,571606,2188444,834,2312,134381,52996,190498,147549,119026,183530,11061,126408,232816,4188,406529,63445,196134,881633,62,1079
